slug,maker,models,group,setting,depth,matched,test,level_dbfs,imd_pct,imd_db
frontdaw_british,Sonimus,British console style,style-frontdaw,mojo_50,full,,ccif_19_20k,-3.0,2.14643,-33.37
frontdaw_british,Sonimus,British console style,style-frontdaw,mojo_50,full,,smpte_60_7k,-30.0,0.06438,-63.82
frontdaw_british,Sonimus,British console style,style-frontdaw,mojo_50,full,,smpte_60_7k,-18.0,0.29902,-50.49
frontdaw_british,Sonimus,British console style,style-frontdaw,mojo_50,full,,smpte_60_7k,-12.0,1.01769,-39.85
frontdaw_british,Sonimus,British console style,style-frontdaw,mojo_50,full,,smpte_60_7k,-6.0,3.81482,-28.37
frontdaw_british,Sonimus,British console style,style-frontdaw,mojo_50,full,,smpte_60_7k,-3.0,7.74291,-22.22
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,drive_0,full,,ccif_19_20k,-30.0,0.37503,-48.52
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,drive_0,full,,ccif_19_20k,-18.0,1.07068,-39.41
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,drive_0,full,,ccif_19_20k,-12.0,1.49265,-36.52
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,drive_0,full,,ccif_19_20k,-6.0,1.72492,-35.26
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,drive_0,full,,ccif_19_20k,-3.0,1.71851,-35.3
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,drive_0,full,,smpte_60_7k,-30.0,0.24219,-52.32
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,drive_0,full,,smpte_60_7k,-18.0,0.80607,-41.87
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,drive_0,full,,smpte_60_7k,-12.0,1.30181,-37.71
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,drive_0,full,,smpte_60_7k,-6.0,1.8203,-34.8
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,drive_0,full,,smpte_60_7k,-3.0,2.00979,-33.94
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,drive_12,full,,ccif_19_20k,-30.0,6.39756,-23.88
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,drive_12,full,,ccif_19_20k,-18.0,15.81681,-16.02
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,drive_12,full,,ccif_19_20k,-12.0,13.6229,-17.31
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,drive_12,full,,ccif_19_20k,-6.0,18.96982,-14.44
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,drive_12,full,,ccif_19_20k,-3.0,25.83645,-11.76
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,drive_12,full,,smpte_60_7k,-30.0,4.5317,-26.87
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,drive_12,full,,smpte_60_7k,-18.0,10.04419,-19.96
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,drive_12,full,,smpte_60_7k,-12.0,15.09351,-16.42
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,drive_12,full,,smpte_60_7k,-6.0,104.58446,0.39
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,drive_12,full,,smpte_60_7k,-3.0,137.48276,2.76
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,drive_6,full,,ccif_19_20k,-30.0,2.55278,-31.86
nls_mike,Waves,SSL 4000 G+ console channel,console-ssl,drive_6,full,,ccif_19_20k,-18.0,6.36117,-23.93
