slug,maker,models,group,element,gr_target_db,marking,phase,time_ms,gr_db
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,10.0,"release=('raw', 0.75)",release,5.0,0.4964249185997067
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,10.0,"release=('raw', 0.75)",release,50.0,0.5016067022236594
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,10.0,"release=('raw', 0.75)",release,500.0,0.5018561050102992
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,10.0,"release=('raw', 0.75)",release,5000.0,0.501549386142135
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,10.0,"release=('raw', 1.0)",attack,0.1,1.1278808829077231
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,10.0,"release=('raw', 1.0)",attack,0.2,0.07766471265505981
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,10.0,"release=('raw', 1.0)",attack,0.5,0.5602585271932563
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,10.0,"release=('raw', 1.0)",attack,1.0,0.30574529112870863
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,10.0,"release=('raw', 1.0)",attack,10.0,0.44283969781481414
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,10.0,"release=('raw', 1.0)",attack,100.0,0.4396053226933869
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,10.0,"release=('raw', 1.0)",attack,1000.0,0.4367127005975844
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,10.0,"release=('raw', 1.0)",attack,2.0,0.5919977762867559
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,10.0,"release=('raw', 1.0)",attack,20.0,0.44206585355787187
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,10.0,"release=('raw', 1.0)",attack,200.0,0.43858934128699634
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,10.0,"release=('raw', 1.0)",attack,2000.0,0.1434969061343745
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,10.0,"release=('raw', 1.0)",attack,5.0,0.44337415197645313
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,10.0,"release=('raw', 1.0)",attack,50.0,0.44070399964727613
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,10.0,"release=('raw', 1.0)",attack,500.0,0.43743707788337094
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,10.0,"release=('raw', 1.0)",attack,5000.0,0.4325874150429634
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,10.0,"release=('raw', 1.0)",release,0.1,-1.6365531889011389
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,10.0,"release=('raw', 1.0)",release,0.2,0.17854955651205007
aw_pop2,Airwindows,transient-preserving comp,aw-comp,digital,10.0,"release=('raw', 1.0)",release,0.5,0.31278353066061015
