slug,maker,models,group,element,gr_target_db,hz,thd_pct,h2,h3,h4,h5,h6,h7,h8
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,6.0,60.0,0.9235768866350963,-42.68188090308638,-47.740884597124655,-51.49367235699082,-54.42686890391001,-56.91223138068012,-59.30888986766533,-61.92631631306061
dbx160,UAD,dbx 160 VU,vca-dbx160,vca,10.0,1000.0,0.04329353677827626,-200.0,-67.27154197127945,-200.0,-128.47555632934876,-200.0,-162.28405727601282,-200.0
dbx160,UAD,dbx 160 VU,vca-dbx160,vca,10.0,220.0,0.1959267290310242,-200.0,-54.158183815928425,-200.0,-102.93375448403397,-200.0,-145.32356346292198,-200.0
dbx160,UAD,dbx 160 VU,vca-dbx160,vca,10.0,5000.0,0.009265495215728508,-200.0,-80.66262727712143,-200.0,,,,
dbx160,UAD,dbx 160 VU,vca-dbx160,vca,10.0,60.0,0.7150666071049249,-200.0,-42.9138313197317,-200.0,-80.47707327812618,-200.0,-116.23485213734511,-200.0
dbx160,UAD,dbx 160 VU,vca-dbx160,vca,15.0,1000.0,0.04300545173594717,-200.0,-67.32953300893561,-200.0,-128.5409705762789,-200.0,-161.67149382702462,-200.0
dbx160,UAD,dbx 160 VU,vca-dbx160,vca,15.0,220.0,0.19462594286877802,-200.0,-54.21604298626583,-200.0,-102.99161886626078,-200.0,-145.57707060015065,-200.0
dbx160,UAD,dbx 160 VU,vca-dbx160,vca,15.0,5000.0,0.009204022689533062,-200.0,-80.72044638779745,-200.0,,,,
dbx160,UAD,dbx 160 VU,vca-dbx160,vca,15.0,60.0,0.7104744370597077,-200.0,-42.96979214072229,-200.0,-80.53300589434889,-200.0,-116.29421490394492,-200.0
dbx160,UAD,dbx 160 VU,vca-dbx160,vca,3.0,1000.0,0.04360495473760148,-200.0,-67.20928648557218,-200.0,-128.42192696466915,-200.0,-162.90378155219798,-200.0
dbx160,UAD,dbx 160 VU,vca-dbx160,vca,3.0,220.0,0.19733358956217525,-200.0,-54.096037220895674,-200.0,-102.87447354807752,-200.0,-145.0901384647156,-200.0
dbx160,UAD,dbx 160 VU,vca-dbx160,vca,3.0,5000.0,0.009331836990124126,-200.0,-80.60065712261482,-200.0,,,,
dbx160,UAD,dbx 160 VU,vca-dbx160,vca,3.0,60.0,0.7200304007511046,-200.0,-42.85374462733415,-200.0,-80.41683081406242,-200.0,-116.17733859173987,-200.0
dbx160,UAD,dbx 160 VU,vca-dbx160,vca,6.0,1000.0,0.04348200660448159,-200.0,-67.23381177344194,-200.0,-128.39305218030336,-200.0,-162.6215912280187,-200.0
dbx160,UAD,dbx 160 VU,vca-dbx160,vca,6.0,220.0,0.19677680410595505,-200.0,-54.12057957480169,-200.0,-102.89212273274863,-200.0,-144.3670590484115,-200.0
dbx160,UAD,dbx 160 VU,vca-dbx160,vca,6.0,5000.0,0.009305536996784448,-200.0,-80.62517119755078,-200.0,,,,
dbx160,UAD,dbx 160 VU,vca-dbx160,vca,6.0,60.0,0.7180715324207216,-200.0,-42.877407074741456,-200.0,-80.44064752970422,-200.0,-116.18721844295507,-200.0
vc76,Softube,UREI 1176,fet-1176,fet,10.0,1000.0,0.08643080473258807,-66.6635362472187,-64.27391235919322,-68.97724196543662,-81.54811662569317,-78.75799937730017,-87.09317185162185,-80.53702988716202
vc76,Softube,UREI 1176,fet-1176,fet,10.0,220.0,0.2292107575256878,-55.27860078411355,-59.175905173928115,-62.07421239324515,-67.05946736698594,-70.09157613639657,-70.4776269088705,-71.28202739960516
vc76,Softube,UREI 1176,fet-1176,fet,10.0,5000.0,0.09288188585051678,-63.10545787069558,-65.03668976647765,-72.2204208344837,,,,
