slug,maker,models,group,setting,condition,hz,level_dbfs,rms_dbfs,a_weighted_dbfs
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,silence,40.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,silence,400.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,silence,4000.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,silence,50.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,silence,500.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,silence,5000.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,silence,63.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,silence,630.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,silence,6300.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,silence,80.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,silence,800.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,silence,8000.0,-200.0,-200.0,-200.0
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,under_tone_-12,100.0,-152.34,-96.68,-105.01
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,under_tone_-12,1000.0,-144.74,-96.68,-105.01
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,under_tone_-12,10000.0,-148.96,-96.68,-105.01
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,under_tone_-12,125.0,-152.55,-96.68,-105.01
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,under_tone_-12,1250.0,-156.96,-96.68,-105.01
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,under_tone_-12,12500.0,-148.6,-96.68,-105.01
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,under_tone_-12,160.0,-154.83,-96.68,-105.01
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,under_tone_-12,1600.0,-159.01,-96.68,-105.01
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,under_tone_-12,16000.0,-147.7,-96.68,-105.01
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,under_tone_-12,20.0,-147.55,-96.68,-105.01
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,under_tone_-12,200.0,-154.97,-96.68,-105.01
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,under_tone_-12,2000.0,-150.41,-96.68,-105.01
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,under_tone_-12,20000.0,-96.31,-96.68,-105.01
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,under_tone_-12,25.0,-145.51,-96.68,-105.01
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,under_tone_-12,250.0,-155.59,-96.68,-105.01
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,under_tone_-12,2500.0,-159.17,-96.68,-105.01
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,under_tone_-12,31.5,-147.17,-96.68,-105.01
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,under_tone_-12,315.0,-156.14,-96.68,-105.01
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,under_tone_-12,3150.0,-151.27,-96.68,-105.01
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,under_tone_-12,40.0,-148.42,-96.68,-105.01
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,under_tone_-12,400.0,-156.5,-96.68,-105.01
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,under_tone_-12,4000.0,-152.21,-96.68,-105.01
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,under_tone_-12,50.0,-148.8,-96.68,-105.01
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,under_tone_-12,500.0,-156.85,-96.68,-105.01
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,under_tone_-12,5000.0,-152.55,-96.68,-105.01
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,under_tone_-12,63.0,-152.21,-96.68,-105.01
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,under_tone_-12,630.0,-156.81,-96.68,-105.01
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,under_tone_-12,6300.0,-150.78,-96.68,-105.01
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,under_tone_-12,80.0,-152.02,-96.68,-105.01
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,under_tone_-12,800.0,-155.01,-96.68,-105.01
api_vision,UAD,API 1608 console channel,console-api,line_gain_6,under_tone_-12,8000.0,-151.73,-96.68,-105.01
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-30,silence,100.0,-114.86,-86.69,-87.03
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-30,silence,1000.0,-103.89,-86.69,-87.03
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-30,silence,10000.0,-94.41,-86.69,-87.03
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-30,silence,125.0,-113.96,-86.69,-87.03
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-30,silence,1250.0,-103.56,-86.69,-87.03
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-30,silence,12500.0,-93.49,-86.69,-87.03
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-30,silence,160.0,-111.25,-86.69,-87.03
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-30,silence,1600.0,-102.56,-86.69,-87.03
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-30,silence,16000.0,-92.56,-86.69,-87.03
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-30,silence,20.0,-120.26,-86.69,-87.03
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-30,silence,200.0,-111.97,-86.69,-87.03
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-30,silence,2000.0,-101.47,-86.69,-87.03
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-30,silence,20000.0,-91.5,-86.69,-87.03
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-30,silence,25.0,-123.51,-86.69,-87.03
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-30,silence,250.0,-110.74,-86.69,-87.03
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-30,silence,2500.0,-100.51,-86.69,-87.03
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-30,silence,31.5,-119.15,-86.69,-87.03
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-30,silence,315.0,-109.23,-86.69,-87.03
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-30,silence,3150.0,-99.46,-86.69,-87.03
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-30,silence,40.0,-116.97,-86.69,-87.03
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-30,silence,400.0,-107.85,-86.69,-87.03
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-30,silence,4000.0,-98.49,-86.69,-87.03
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-30,silence,50.0,-118.38,-86.69,-87.03
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-30,silence,500.0,-107.38,-86.69,-87.03
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-30,silence,5000.0,-97.43,-86.69,-87.03
bx_console_n,Brainworx,Neve VXS console channel,console-neve,thd_-30,silence,63.0,-118.45,-86.69,-87.03
