slug,maker,models,group,setting,depth,matched,hz,level_dbfs,thd_pct,thd_db,gain_db,noise_floor_db,clipped,rejected_runs,h2,h3,h4,h5,h6,h7,h8
nlsbuss_spike,Waves,EMI TG12345 console buss,console-emi,matched_thd_1_pct,full,thd_1_pct,100.0,-3.0,3.637355635680361,-28.78428469068612,0.853,-128.29829948532816,False,0,-28.95849647481903,-69.47052012582594,-43.62403351516605,-75.47522075569655,-51.727529602903076,-79.76678400177472,-57.59228444538322
nlsbuss_spike,Waves,EMI TG12345 console buss,console-emi,matched_thd_1_pct,full,thd_1_pct,100.0,-30.0,1.4186519507389388,-36.962482808456365,0.82,-155.51298771004366,False,0,-36.981465122296534,-65.58598672595649,-62.477320174500655,-78.65268701879842,-77.2272913677059,-87.44575228482219,-87.51564384719642
nlsbuss_spike,Waves,EMI TG12345 console buss,console-emi,matched_thd_1_pct,full,thd_1_pct,100.0,-36.0,0.8552107252556851,-41.3585372249717,0.814,-161.5437137911601,False,0,-41.37004933632181,-69.21364018272159,-71.71302701918619,-83.8035171155611,-88.04654902833022,-93.07263053991632,-98.70720846559911
nlsbuss_spike,Waves,EMI TG12345 console buss,console-emi,matched_thd_1_pct,full,thd_1_pct,100.0,-42.0,0.4766571807503172,-46.43587720056553,0.81,-167.57013482254948,False,0,-46.4451432264812,-73.87094894421078,-82.17723315075605,-89.5555019561817,-99.51233163558287,-99.04098364752316,-109.72518481384851
nlsbuss_spike,Waves,EMI TG12345 console buss,console-emi,matched_thd_1_pct,full,thd_1_pct,100.0,-48.0,0.25300586437648226,-51.93738824550901,0.807,-173.58276627495673,False,0,-51.94615879154896,-79.15433333778924,-93.47709622819565,-95.59719565467185,-110.87170735184012,-105.18260226814624,-119.04086222652246
nlsbuss_spike,Waves,EMI TG12345 console buss,console-emi,matched_thd_1_pct,full,thd_1_pct,100.0,-54.0,0.13062080377449278,-57.67975296276035,0.806,-179.58991876554464,False,0,-57.68846646321191,-84.79054260526519,-105.57912823939411,-101.85449007711723,-120.38934766000664,-111.49940722804773,-124.82556576443797
nlsbuss_spike,Waves,EMI TG12345 console buss,console-emi,matched_thd_1_pct,full,thd_1_pct,100.0,-6.0,3.555420924286752,-28.98217952021166,0.851,-131.31344678732427,False,0,-29.140601155011375,-67.57499938106395,-44.172334998837314,-74.04368973392062,-52.61830695084513,-78.72775920831818,-58.79712679713185
nlsbuss_spike,Waves,EMI TG12345 console buss,console-emi,matched_thd_1_pct,full,thd_1_pct,100.0,-60.0,0.0664243177425583,-63.55345795240378,0.806,-185.59298062882218,False,0,-63.56217066701636,-90.62151636125802,-119.13652291490038,-108.44341579235403,-124.96749506756912,-118.0287220425455,-127.14211002822671
nlsbuss_spike,Waves,EMI TG12345 console buss,console-emi,matched_thd_1_pct,full,thd_1_pct,100.0,-9.0,3.435913568501898,-29.279155390382897,0.848,-134.33400121242323,False,0,-29.418234878563077,-65.93171886427055,-44.9656503543321,-72.96518382278087,-53.86349019710005,-78.10796970760708,-60.438107725860945
nlsbuss_spike,Waves,EMI TG12345 console buss,console-emi,matched_thd_1_pct,full,thd_1_pct,100.0,0.0,8.368464950288693,-21.547083969786573,0.347,-126.6318086104954,True,0,-23.556485463943126,-27.51656365397892,-33.79785800583917,-34.40377315228328,-46.870608936635804,-53.3402487049303,-47.57777641064469
