slug,maker,models,group,setting,level_dbfs,crest_in_db,crest_out_db,crest_change_db,slew_index,click_peak_gain_db,tone_gain_db,square_slope_ratio,sine_slope_ratio
nlsbuss_spike,Waves,EMI TG12345 console buss,console-emi,matched_thd_3_pct,-6.0,36.224,36.465,0.24,0.94011,7.358,6.781,2.14405,2.28065
ssl_ev2,Waves,SSL 4000 E console channel,console-ssl,analog_off,-12.0,36.224,36.259,0.035,0.9798,0.033,0.003,0.98019,1.0004
ssl_ev2,Waves,SSL 4000 E console channel,console-ssl,analog_off,-24.0,36.224,36.259,0.035,0.9798,0.033,0.003,0.98019,1.0004
ssl_ev2,Waves,SSL 4000 E console channel,console-ssl,analog_off,-3.0,36.224,36.259,0.035,0.9798,0.033,0.003,0.98019,1.0004
ssl_ev2,Waves,SSL 4000 E console channel,console-ssl,analog_off,-6.0,36.224,36.259,0.035,0.9798,0.033,0.003,0.98019,1.0004
ssl_ev2,Waves,SSL 4000 E console channel,console-ssl,line_0,-12.0,36.224,36.253,0.028,0.98432,0.042,0.117,0.9865,1.00221
ssl_ev2,Waves,SSL 4000 E console channel,console-ssl,line_0,-24.0,36.224,36.259,0.034,0.98025,0.033,0.023,0.98073,1.00048
ssl_ev2,Waves,SSL 4000 E console channel,console-ssl,line_0,-3.0,36.224,36.241,0.017,0.98509,0.082,0.249,0.99937,1.0145
ssl_ev2,Waves,SSL 4000 E console channel,console-ssl,line_0,-6.0,36.224,36.246,0.021,0.98656,0.063,0.195,0.99469,1.00825
ssl_ev2,Waves,SSL 4000 E console channel,console-ssl,line_10,-12.0,36.224,36.239,0.015,0.98395,0.09,0.269,1.00077,1.0171
ssl_ev2,Waves,SSL 4000 E console channel,console-ssl,line_10,-24.0,36.224,36.255,0.03,0.98314,0.039,0.098,0.98458,1.00146
ssl_ev2,Waves,SSL 4000 E console channel,console-ssl,line_10,-3.0,36.224,35.426,-0.798,0.62578,-1.796,-1.854,0.65715,1.05013
ssl_ev2,Waves,SSL 4000 E console channel,console-ssl,line_10,-6.0,36.224,36.225,0.001,0.89938,0.157,0.411,0.93173,1.03596
ssl_native,SSL,SSL 9000/4000 channel strip,console-ssl,default,-12.0,36.224,36.224,0.0,1.0,0.0,0.0,1.00002,1.00002
ssl_native,SSL,SSL 9000/4000 channel strip,console-ssl,default,-24.0,36.224,36.224,-0.0,1.0,0.0,0.0,1.00002,1.00002
ssl_native,SSL,SSL 9000/4000 channel strip,console-ssl,default,-3.0,36.224,36.224,0.0,1.0,0.0,0.0,1.00002,1.00002
ssl_native,SSL,SSL 9000/4000 channel strip,console-ssl,default,-6.0,36.224,36.224,-0.0,1.0,0.0,0.0,1.00002,1.00002
ssl_native,SSL,SSL 9000/4000 channel strip,console-ssl,trim_+10,-12.0,36.224,36.224,0.0,0.99863,0.0,2.724,1.36671,1.36858
ssl_native,SSL,SSL 9000/4000 channel strip,console-ssl,trim_+10,-24.0,36.224,36.224,-0.0,0.99999,0.0,2.728,1.36957,1.36958
ssl_native,SSL,SSL 9000/4000 channel strip,console-ssl,trim_+10,-3.0,36.224,36.224,0.0,0.99335,0.0,2.379,1.30603,1.31477
ssl_native,SSL,SSL 9000/4000 channel strip,console-ssl,trim_+10,-6.0,36.224,36.224,-0.0,0.99268,0.0,2.528,1.32757,1.33735
