slug,maker,models,group,band,gain_label,hz,level_dbfs,thd_pct,h2,h3,h4,h5,h6,h7,h8
api550a,Waves,API 550A,eq-api,flat,flat,1600.0,-12.0,0.006795745285335861,-83.35592708736837,-121.55395824098605,-144.037412227687,-147.1869342692755,-148.45051341822676,-145.0962187953172,-147.70119010000676
api550a,Waves,API 550A,eq-api,flat,flat,1600.0,-18.0,0.0034011372871655754,-89.36818336653707,-130.1830647863378,-136.79762289951466,-138.7434142306301,-141.73464710371303,-136.66980492346897,-137.17223714138723
api550a,Waves,API 550A,eq-api,flat,flat,1600.0,-6.0,0.013418522650854095,-77.4487774524122,-109.32267088091577,-126.97058609997733,-141.54852423935034,-145.52798958928264,-146.38050340839663,-152.97988975067273
api550a,Waves,API 550A,eq-api,flat,flat,200.0,-12.0,0.006835995079340622,-83.35507932956843,-102.62555420845405,-144.66982619219837,-142.89096314163822,-140.7561667842382,-137.42454003152505,-139.75319976551734
api550a,Waves,API 550A,eq-api,flat,flat,200.0,-18.0,0.0034101283558634044,-89.35960780237438,-114.01402834237673,-138.95899973268624,-138.37611185047547,-140.90633311605376,-148.0086282794158,-139.84643050135534
api550a,Waves,API 550A,eq-api,flat,flat,200.0,-6.0,0.013705097353170631,-77.43781669234208,-91.2875841454565,-126.9543008773764,-130.6173243041165,-145.0426432273383,-154.7565190242968,-149.95926768976685
api550a,Waves,API 550A,eq-api,flat,flat,2000.0,-12.0,0.0067980154276623145,-83.35297401403335,-122.150054362822,-146.14731534076577,-136.6868631351307,-139.56700533359736,-143.75468103630556,-141.09947418132612
api550a,Waves,API 550A,eq-api,flat,flat,2000.0,-18.0,0.0033993711795079888,-89.37239819373112,-140.64882984294735,-136.601106266878,-143.95837936281143,-142.5136505179577,-139.75286527671426,-133.21130752341855
api550a,Waves,API 550A,eq-api,flat,flat,2000.0,-6.0,0.013417997894749109,-77.44805917327528,-111.37823077583974,-126.40108905824029,-148.7886881290234,-157.65751105386275,-144.96790436678756,-146.339607065548
api550a,Waves,API 550A,eq-api,flat,flat,250.0,-12.0,0.006818754725045033,-83.36055642745946,-104.32646807102499,-144.86547786766172,-146.38701571978453,-153.16898243092098,-152.75675827363398,-136.47516961591745
api550a,Waves,API 550A,eq-api,flat,flat,250.0,-18.0,0.0034135528574911447,-89.34238846052607,-117.7842923620916,-141.45100909089476,-137.13031892788683,-136.75372745620712,-139.27389088388645,-136.33148063395691
api550a,Waves,API 550A,eq-api,flat,flat,250.0,-6.0,0.013615516043911409,-77.43669638449366,-93.06264267735659,-126.28780696654024,-131.14442565107905,-149.5099340650372,-149.32306758448343,-142.5211979084166
api550a,Waves,API 550A,eq-api,flat,flat,2500.0,-12.0,0.006791312443953955,-83.36123018219251,-125.41249564365422,-146.95539393492822,-143.00407370713413,-137.59074052720388,-140.19012113878654,-147.73679473664959
api550a,Waves,API 550A,eq-api,flat,flat,2500.0,-18.0,0.003415798597297983,-89.33081542723806,-135.39948781467695,-148.24869221272948,-129.66620684084066,-135.2600150066578,-140.9470833475824,-148.88701229158323
api550a,Waves,API 550A,eq-api,flat,flat,2500.0,-6.0,0.0134240938373314,-77.443414223606,-113.56975601839204,-126.63250205218912,-142.41594123657111,-150.34421017210224,-148.4442601113127,-158.03148962309632
api550a,Waves,API 550A,eq-api,flat,flat,31.5,-12.0,0.0073113928570958785,-83.1550187447963,-92.92860727370098,-141.60808091235717,-141.06345159473392,-149.1135137951786,-144.99967033307829,-148.45879706649058
api550a,Waves,API 550A,eq-api,flat,flat,31.5,-18.0,0.0035340270185651914,-89.13378730658452,-105.50499470393362,-138.04714496384744,-150.09747879963632,-147.13089432575782,-136.28816296470225,-141.85627491969018
api550a,Waves,API 550A,eq-api,flat,flat,31.5,-6.0,0.01617646574566582,-77.21291887338347,-81.4464223443174,-125.33144061266093,-116.6498330607414,-147.4177099630796,-151.66960324620763,-161.9375989020645
api550a,Waves,API 550A,eq-api,flat,flat,315.0,-12.0,0.006808047983209177,-83.36183444970726,-106.25200227404645,-150.54328407951405,-140.73192331023915,-144.0241531593988,-146.7247409756698,-142.2556698011025
api550a,Waves,API 550A,eq-api,flat,flat,315.0,-18.0,0.003419420162634072,-89.3283834059779,-117.4163165531749,-141.42445860151238,-146.44490843994788,-132.05466272244462,-131.79444123248385,-133.13438715770917
api550a,Waves,API 550A,eq-api,flat,flat,315.0,-6.0,0.0135437270046097,-77.44112887742762,-94.98279837678284,-126.13599371989844,-134.63020481123587,-155.26888802458544,-152.80366740177416,-148.93308962733516
api550a,Waves,API 550A,eq-api,flat,flat,3150.0,-12.0,0.006799055310687075,-83.35124938053971,-126.57723987959108,-144.22955357683793,-142.73089928378798,-142.249949932574,-160.18869916958167,
api550a,Waves,API 550A,eq-api,flat,flat,3150.0,-18.0,0.0034139273807342117,-89.33520644268148,-147.76420566097744,-142.85679743271618,-144.22003352762235,-132.69014744042266,-138.56926660402604,
api550a,Waves,API 550A,eq-api,flat,flat,3150.0,-6.0,0.013419821005074297,-77.44573773871709,-115.88357508509989,-126.94537399222669,-146.9336695994139,-149.318721930292,-147.28884547712963,
api550a,Waves,API 550A,eq-api,flat,flat,40.0,-12.0,0.007227946290397145,-83.2149750181808,-93.42492563793729,-141.9004476625595,-142.03466331815576,-149.85918979812465,-142.96967492942824,-143.909246715515
api550a,Waves,API 550A,eq-api,flat,flat,40.0,-18.0,0.0034893097305691866,-89.25263152614521,-105.27738740346344,-139.5658819529381,-146.45528469874156,-139.39531485130598,-136.2551533321171,-135.04495529778046
api550a,Waves,API 550A,eq-api,flat,flat,40.0,-6.0,0.015779217030285977,-77.27461044283822,-82.09962331189986,-126.1610808840432,-117.98793671886781,-163.6114142032619,-165.67648400321204,-147.15411571340246
api550a,Waves,API 550A,eq-api,flat,flat,400.0,-12.0,0.006803843564533329,-83.35862856774044,-108.37557868364985,-135.75132982044994,-136.95127404033167,-145.45952016334758,-140.847157524109,-146.52420370846315
api550a,Waves,API 550A,eq-api,flat,flat,400.0,-18.0,0.0034116768546822913,-89.34476871098609,-120.44129374685859,-135.74153753157336,-137.18670943729373,-137.2590631094744,-136.5849021187663,-129.37364416647728
api550a,Waves,API 550A,eq-api,flat,flat,400.0,-6.0,0.013494461075332498,-77.44465976508442,-97.01297632046644,-126.29763721172873,-134.63516533383074,-150.01105242625917,-146.07230898684782,-146.36479542553363
api550a,Waves,API 550A,eq-api,flat,flat,4000.0,-12.0,0.006798069147829175,-83.35237253676438,-130.91161976190455,-140.77149564104405,-163.57248710271304,-183.41299107608663,,
api550a,Waves,API 550A,eq-api,flat,flat,4000.0,-18.0,0.0034122974484003406,-89.33928928448161,-137.00288207850986,-134.00964139385658,-149.3243972218011,-172.79135460530856,,
api550a,Waves,API 550A,eq-api,flat,flat,4000.0,-6.0,0.013418647563275677,-77.44617483151112,-119.19201364033992,-126.11800513782515,-149.48223468774736,-182.1139346627052,,
api550a,Waves,API 550A,eq-api,flat,flat,50.0,-12.0,0.0071438510490670236,-83.25775794154913,-94.19781857980331,-145.3328132558321,-146.78484411952206,-142.15367882875293,-154.77697132485991,-150.75202949562336
api550a,Waves,API 550A,eq-api,flat,flat,50.0,-18.0,0.0035204509583901446,-89.1487754715947,-106.43007315215337,-137.78343138120394,-143.00646960864577,-137.14908288297207,-137.39188135319048,-137.2659628216847
api550a,Waves,API 550A,eq-api,flat,flat,50.0,-6.0,0.015389367222451381,-77.33964413509044,-82.81477774158999,-126.61230615030881,-119.50311332609027,-161.6960088820523,-152.7589352939327,-140.46598530994856
api550a,Waves,API 550A,eq-api,flat,flat,500.0,-12.0,0.006797586264035008,-83.36141241904527,-110.44902473317003,-154.19279567136837,-153.23246765429047,-141.1663605172669,-144.32545096437684,-139.10603023825945
api550a,Waves,API 550A,eq-api,flat,flat,500.0,-18.0,0.003401479488577862,-89.36997111803186,-121.76235496984518,-132.44087301161284,-135.23499865053327,-140.63653428351594,-131.44551113422355,-132.78948771677128
api550a,Waves,API 550A,eq-api,flat,flat,500.0,-6.0,0.013465162092657476,-77.44666494869448,-98.91791903328753,-126.67500357696804,-138.09666205567012,-144.0075868592444,-149.3260129448982,-153.85650919094954
api550a,Waves,API 550A,eq-api,flat,flat,5000.0,-12.0,0.006791829758153857,-83.36036222904751,-130.9577672141297,-136.20808607311693,,,,
api550a,Waves,API 550A,eq-api,flat,flat,5000.0,-18.0,0.00342158237774769,-89.31570427996238,-132.05626919667282,-144.4762526247332,,,,
api550a,Waves,API 550A,eq-api,flat,flat,5000.0,-6.0,0.013410345673206661,-77.45139520613026,-122.79971936405794,-125.50977147860011,,,,
api550a,Waves,API 550A,eq-api,flat,flat,63.0,-12.0,0.007056715913721252,-83.30064159993276,-95.18507211200327,-145.38131821855035,-137.91118051387846,-143.67396605875476,-145.01927703139162,-147.03930834473593
api550a,Waves,API 550A,eq-api,flat,flat,63.0,-18.0,0.0034533390731225732,-89.30557180276332,-107.19239074693459,-141.20332581545188,-137.8685260226787,-135.24864449246812,-147.67796078469996,-136.90654283718487
api550a,Waves,API 550A,eq-api,flat,flat,63.0,-6.0,0.015000965052041744,-77.37432992106346,-83.77060641757461,-126.04582071024038,-121.22435438561384,-146.62864322579733,-150.24277938637528,-154.53967527449248
api550a,Waves,API 550A,eq-api,flat,flat,630.0,-12.0,0.006807773026911873,-83.34546300113536,-112.29014075229946,-137.9762906950236,-143.0500323255796,-140.7875797280374,-145.45803177291197,-155.09124157744816
api550a,Waves,API 550A,eq-api,flat,flat,630.0,-18.0,0.0034274851418768814,-89.3027798061995,-123.07247322048711,-137.99550742593186,-131.35204545902954,-152.9468283141645,-140.34082627578738,-135.54290992729878
api550a,Waves,API 550A,eq-api,flat,flat,630.0,-6.0,0.013447869163271916,-77.44643035610179,-100.92700977104633,-126.71064522370128,-141.86878104828853,-138.8718737704365,-147.33543337873616,-144.05949850643574
api550a,Waves,API 550A,eq-api,flat,flat,6300.0,-12.0,0.006788183293812961,-83.36493311535773,-143.38098790374966,,,,,
api550a,Waves,API 550A,eq-api,flat,flat,6300.0,-18.0,0.0034252288670945964,-89.30630584336816,-135.7827774824677,,,,,
api550a,Waves,API 550A,eq-api,flat,flat,6300.0,-6.0,0.013414495548310049,-77.44855194440304,-127.93156085000078,,,,,
api550a,Waves,API 550A,eq-api,flat,flat,80.0,-12.0,0.006994775918243552,-83.31392324640618,-96.37795781286411,-137.27334546393845,-141.27942584632927,-142.30319710076412,-136.867165638318,-144.13655441918857
api550a,Waves,API 550A,eq-api,flat,flat,80.0,-18.0,0.003470043402462244,-89.24643598515436,-108.38366752552231,-142.79125178721915,-131.58877828243814,-135.99084661579775,-136.41692168184886,-139.71230915175553
api550a,Waves,API 550A,eq-api,flat,flat,80.0,-6.0,0.014626770533501927,-77.39901148483335,-84.95895068812911,-126.87608073837293,-122.40159450000411,-152.76924986644752,-155.58043308843892,-155.66308506096905
api550a,Waves,API 550A,eq-api,flat,flat,800.0,-12.0,0.006805453408427679,-83.34623416301699,-114.48565332244621,-135.81675308294882,-152.84144027478254,-141.35758171365688,-149.40205755714874,-144.92397103726464
api550a,Waves,API 550A,eq-api,flat,flat,800.0,-18.0,0.0034182634431859813,-89.32585386204038,-123.97059304159207,-133.73540989545663,-140.88664757602334,-133.24025959207202,-136.41426133645953,-141.62285817856278
api550a,Waves,API 550A,eq-api,flat,flat,800.0,-6.0,0.013434443341042343,-77.44765598283588,-103.02793148563327,-127.07256939306477,-140.25172350855792,-148.7515277199954,-164.42821361091532,-148.16612120156773
api550a,Waves,API 550A,eq-api,flat,flat,8000.0,-12.0,0.0067895726180485505,-83.36315124624512,,,,,,
api550a,Waves,API 550A,eq-api,flat,flat,8000.0,-18.0,0.0033944274023732166,-89.38466950550614,,,,,,
api550a,Waves,API 550A,eq-api,flat,flat,8000.0,-6.0,0.013409971858615189,-77.45144267065028,,,,,,
api550a,Waves,API 550A,eq-api,high_bell,+12,100.0,-12.0,0.007080134336304259,-83.16157589196615,-97.35331845095473,-136.57649703349134,-140.31438896856622,-137.97556983618978,-148.70869186655088,-140.20440530180244
