slug,maker,models,group,band,target_hz,actual_hz,marking,gain_label,hz,gain_db
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,18170.4,2.653
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,20.0,0.191
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,200.0,0.204
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,2000.0,1.165
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,20000.0,2.399
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,22.0,0.19
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,220.1,0.202
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,2201.4,1.328
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,24.2,0.19
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,242.3,0.204
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,2423.1,1.515
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,26.7,0.188
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,266.7,0.213
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,2667.0,1.716
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,29.4,0.188
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,293.6,0.218
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,2935.6,1.941
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,32.3,0.187
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,323.1,0.217
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,3231.2,2.176
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,35.6,0.188
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,355.7,0.228
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,3556.6,2.429
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,39.1,0.186
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,391.5,0.236
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,3914.7,2.686
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,43.1,0.186
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,430.9,0.242
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,4308.9,2.95
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,47.4,0.186
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,474.3,0.259
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,4742.7,3.202
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,52.2,0.187
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,522.0,0.266
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,5220.3,3.445
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,57.5,0.188
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,574.6,0.289
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,5746.0,3.67
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,63.2,0.189
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,632.5,0.305
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,6324.6,3.859
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,69.6,0.191
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,696.1,0.327
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,6961.4,4.009
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,76.6,0.193
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,766.2,0.36
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,7662.4,4.109
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,84.3,0.195
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,843.4,0.397
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,8433.9,4.157
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,92.8,0.196
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,928.3,0.436
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+4,9283.2,4.148
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+6,102.2,0.167
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+6,1021.8,0.53
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+6,10217.9,5.963
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+6,112.5,0.166
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+6,1124.7,0.605
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+6,11246.8,5.726
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+6,123.8,0.163
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+6,1237.9,0.689
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+6,12379.3,5.398
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+6,136.3,0.162
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+6,1362.6,0.784
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+6,13625.8,4.998
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+6,1499.8,0.915
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+6,14997.9,4.557
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+6,150.0,0.164
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+6,165.1,0.17
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+6,1650.8,1.049
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+6,16508.1,4.098
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+6,181.7,0.176
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+6,1817.0,1.215
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+6,18170.4,3.671
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+6,20.0,0.162
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+6,200.0,0.178
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+6,2000.0,1.406
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+6,20000.0,3.303
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+6,22.0,0.16
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+6,220.1,0.175
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+6,2201.4,1.621
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+6,24.2,0.16
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+6,242.3,0.177
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+6,2423.1,1.873
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+6,26.7,0.158
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+6,266.7,0.189
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+6,2667.0,2.148
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+6,29.4,0.157
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+6,293.6,0.195
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+6,2935.6,2.461
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+6,32.3,0.156
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+6,323.1,0.193
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+6,3231.2,2.797
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+6,35.6,0.156
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+6,355.7,0.207
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+6,3556.6,3.166
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+6,39.1,0.155
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+6,391.5,0.218
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+6,3914.7,3.553
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+6,43.1,0.155
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+6,430.9,0.223
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+6,4308.9,3.96
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+6,47.4,0.155
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+6,474.3,0.247
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+6,4742.7,4.37
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+6,52.2,0.156
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+6,522.0,0.253
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+6,5220.3,4.775
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+6,57.5,0.157
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+6,574.6,0.283
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+6,5746.0,5.165
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+6,63.2,0.158
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+6,632.5,0.303
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+6,6324.6,5.505
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+6,69.6,0.161
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+6,696.1,0.33
api550a,Waves,API 550A,eq-api,high_bell,10000.0,10000.0,dB,+6,6961.4,5.792
