element,gr_target_db,group,hold,maker,models,slug,family,gr_at_end_of_hold_db,gr_measured_db,reached,release_0.1_ms,release_0.2_ms,release_0.5_ms,release_1000_ms,release_100_ms,release_10_ms,release_1_ms,release_2000_ms,release_200_ms,release_20_ms,release_2_ms,release_5000_ms,release_500_ms,release_50_ms,release_5_ms
vca,6.0,vca-dbx160,hold_3s,UAD,dbx 160 VU,dbx160,comp,6.003672759794505,6.0,True,5.867347704452164,5.680859289035076,5.677287259799159,0.0008859946143226147,0.01326842698116415,5.051249506686988,5.600396084265052,0.0003924099049219115,0.005939961681288408,4.122447207858054,5.849051660431508,0.00022670086568340325,0.0019618384257505117,1.280992685466891,5.503101882400275
fet,10.0,fet-1176,hold_0.03s,Softube,UREI 1176,vc76,comp,8.051774230107497,8.94,True,7.444650508774065,6.792370968467062,7.0200814857775855,0.6261522584577266,6.308607983557233,7.899324364165856,6.992299348274451,0.22058003917874647,4.8750074866689195,7.7215684387172425,8.12878485425157,0.0424051254577531,2.1575391338226524,7.151746823413306,7.932867224634875
fet,10.0,fet-1176,hold_0.3s,Softube,UREI 1176,vc76,comp,8.330076396538612,8.94,True,7.7544063989196985,7.169985219312977,7.44873400190092,0.8126110497266046,6.629676471220387,8.208370520880008,7.4837703386329775,0.2825099806794089,5.2409290861190065,8.02124907691227,8.332134768535257,0.05162206527877178,2.5241015425537148,7.447309526767386,8.240140994054137
fet,10.0,fet-1176,hold_3s,Softube,UREI 1176,vc76,comp,9.153888205852933,8.94,True,8.570076727230061,7.990744651134321,8.271710701445315,1.6018908972949824,7.67427396666209,9.049741080408806,8.310000722526793,0.4834677409392949,6.4461294750076075,8.891190108935886,9.148625975422997,0.08050845535836348,3.7861353693277007,8.38623706601424,9.068626518519737
fet,15.0,fet-1176,hold_0.03s,Softube,UREI 1176,vc76,comp,15.574804087438723,16.69,False,14.952781616480742,14.310988284960672,14.490345847098727,1.8376521963299806,13.047746346014337,15.32072553661677,14.44633008905734,0.41854826616534346,10.796248123532298,15.07562353349189,15.655592082575989,0.0673227564819383,5.7340817484442805,14.285107814192653,15.393031809449912
fet,15.0,fet-1176,hold_0.3s,Softube,UREI 1176,vc76,comp,15.937762971228151,16.69,False,15.367884683429002,14.784986340440993,15.058901677013754,2.4247124089534933,13.539622831793146,15.748661773332707,15.092561093174856,0.5334099521779647,11.400442401460722,15.496203323485627,15.93079232310495,0.08538106640211307,6.5084056276414355,14.710576317535228,15.816675057169212
fet,15.0,fet-1176,hold_3s,Softube,UREI 1176,vc76,comp,17.0568611047577,16.69,False,16.47633936687042,15.896787507564625,16.175479269147583,4.506537775997871,15.049320909853652,16.903174737061576,16.21349124718503,1.138735902185665,13.254545276279876,16.68790143727336,17.042697267126826,0.13957799791212366,8.934902082100491,16.029721347416093,16.947879636086498
fet,3.0,fet-1176,hold_0.03s,Softube,UREI 1176,vc76,comp,0.9421615574563731,1.55,True,0.41685872747340547,-0.23731662784525653,0.012723031208142999,0.1898705736458144,0.7709081158847724,1.048437911898251,-0.004265038155320866,0.07340369729398866,0.6062167847163664,1.0301517917352143,1.1251259591931468,0.010042460214306104,0.37234326177543764,0.9067079984724682,0.997589970113431
fet,3.0,fet-1176,hold_0.3s,Softube,UREI 1176,vc76,comp,1.271594537505809,1.55,True,0.6845792195903879,0.10415004454512555,0.38426560744808747,0.23782405906216653,0.9217684228425735,1.2730859957853937,0.4225906380707727,0.09965925386975805,0.701381610129328,1.228652957117566,1.292466017362445,0.015349253356863102,0.43763751631902004,1.0676851328902863,1.238654761780385
fet,3.0,fet-1176,hold_3s,Softube,UREI 1176,vc76,comp,1.6476124972361905,1.55,True,1.059945986322413,0.48430071448121126,0.7654727484602812,0.3659395232395628,1.2462259410092855,1.6494046021009066,0.8065741842292447,0.17298287533240675,0.9858612463633811,1.6063248237434227,1.6636422985264598,0.02769092058556133,0.5937558166012931,1.4356837855888394,1.6143075809856722
fet,6.0,fet-1176,hold_0.03s,Softube,UREI 1176,vc76,comp,4.390698583869051,5.11,True,3.8047680691259824,3.150299462147096,3.3919091952482816,0.4284221208388921,3.3023974386792183,4.336139570807134,3.370124359318371,0.16474891610842413,2.4466102998303114,4.225142232028789,4.496191674845232,0.023071592537004193,0.9953915321712117,3.839690633990024,4.33375068566175
fet,6.0,fet-1176,hold_0.3s,Softube,UREI 1176,vc76,comp,4.65282915722822,5.11,True,4.072051530326117,3.4887871671490114,3.768628029734538,0.5021061218396472,3.531214759248309,4.577701252447547,3.804771306796029,0.20797937306404712,2.6840469606219326,4.454196675567966,4.661285932419718,0.030616667817763954,1.1750923688110166,4.061649056464551,4.584188951508146
fet,6.0,fet-1176,hold_3s,Softube,UREI 1176,vc76,comp,5.2927260591785625,5.11,True,4.707017142981639,4.128696779023256,4.41032645875555,0.7909302806674514,4.274739951556445,5.228035230113221,4.449156175789879,0.3417163192748074,3.4730722880507816,5.11942520896724,5.295029844499602,0.05016889247733225,1.8887056025535909,4.7656876263916494,5.22655244026628
