slug,maker,models,group,setting,depth,matched,hz,level_dbfs,thd_pct,valid_orders,h2,h3,h4,h5,h6,h7,h8
nls_nevo,Waves,Neve 5116 console channel,console-neve,matched_thd_0.1_pct,full,thd_0.1_pct,250.0,-3.0,18.335758351390602,96,-21.621704760328306,-15.939652550119973,-35.33410393651414,-48.5070739570548,-33.22340495775641,-35.162719716611456,-37.48917310405393
nls_nevo,Waves,Neve 5116 console channel,console-neve,matched_thd_0.1_pct,full,thd_0.1_pct,2500.0,-12.0,0.0804564977179491,9,-72.98464721716151,-62.38360524829143,-107.45645783933666,-77.61630435604417,-118.85973941025784,-86.82119209802623,-120.14967239259342
nls_nevo,Waves,Neve 5116 console channel,console-neve,matched_thd_0.1_pct,full,thd_0.1_pct,2500.0,-3.0,18.42297338536631,9,-20.70498372336171,-16.16971919122145,-35.87314359903536,-46.228943341229225,-32.245171130716734,-36.10262987192454,-37.994347747373496
nls_nevo,Waves,Neve 5116 console channel,console-neve,matched_thd_0.1_pct,full,thd_0.1_pct,31.5,-12.0,2.5315534591731224,762,-39.08416406804663,-33.50387040981536,-56.9319631675727,-42.478051176419775,-67.62176824413291,-49.07687754617734,-75.65218749661861
nls_nevo,Waves,Neve 5116 console channel,console-neve,matched_thd_0.1_pct,full,thd_0.1_pct,31.5,-3.0,13.46159952580633,762,-22.310092295280587,-19.427009111131767,-36.53255725343969,-46.65826729677626,-36.09688504665975,-37.544990756098436,-37.67217650924211
nls_nevo,Waves,Neve 5116 console channel,console-neve,matched_thd_0.1_pct,full,thd_0.1_pct,315.0,-12.0,0.20315200278952075,76,-64.60833222389705,-54.39852343249031,-94.47828221015781,-68.7711509498199,-110.77723762137327,-77.98157616655814,-121.92136857277919
nls_nevo,Waves,Neve 5116 console channel,console-neve,matched_thd_0.1_pct,full,thd_0.1_pct,315.0,-3.0,18.386874472666562,76,-21.5193632324904,-15.936887753377853,-35.25897465547541,-48.355823508925056,-33.15597522808344,-35.226346591488195,-37.52047311759113
nls_nevo,Waves,Neve 5116 console channel,console-neve,matched_thd_0.1_pct,full,thd_0.1_pct,3150.0,-12.0,0.07602313140455905,7,-73.49651283401487,-62.87262020016552,-108.37843574604568,-78.13814964388654,-117.14157629919397,-87.51206423250657,
nls_nevo,Waves,Neve 5116 console channel,console-neve,matched_thd_0.1_pct,full,thd_0.1_pct,3150.0,-3.0,18.410767013598047,7,-20.651203101176513,-16.16905596091019,-35.93172480830712,-46.15439788413166,-32.166095251119685,-36.170295757068075,
nls_nevo,Waves,Neve 5116 console channel,console-neve,matched_thd_0.1_pct,full,thd_0.1_pct,40.0,-12.0,1.8783614755566687,595,-42.74234788526802,-35.72490676195794,-62.201421162206884,-45.776030465801355,-73.95789939116776,-53.07005545051253,-82.7367581945233
nls_nevo,Waves,Neve 5116 console channel,console-neve,matched_thd_0.1_pct,full,thd_0.1_pct,40.0,-3.0,15.192572641512154,595,-22.32440075012967,-17.917525799620254,-34.50915828988224,-57.6762793581686,-34.231579849578104,-37.47111370705409,-37.93247579860722
nls_nevo,Waves,Neve 5116 console channel,console-neve,matched_thd_0.1_pct,full,thd_0.1_pct,400.0,-12.0,0.16672359873328552,60,-66.40605656494006,-56.09920751853835,-97.14081458235073,-70.68375424295512,-113.68424795574505,-79.94782782959953,-124.40361960226673
nls_nevo,Waves,Neve 5116 console channel,console-neve,matched_thd_0.1_pct,full,thd_0.1_pct,400.0,-3.0,18.40548191902637,60,-21.434955743743487,-15.949613619647696,-35.23256547989794,-48.10204794214549,-33.07256232369276,-35.30935040212753,-37.561815866213635
nls_nevo,Waves,Neve 5116 console channel,console-neve,matched_thd_0.1_pct,full,thd_0.1_pct,4000.0,-12.0,0.07034816969098043,6,-74.17567813338796,-63.529923197799235,-109.84595598566129,-78.85187818280359,-119.3569124460333,,
nls_nevo,Waves,Neve 5116 console channel,console-neve,matched_thd_0.1_pct,full,thd_0.1_pct,4000.0,-3.0,18.373330379788815,6,-20.61048698746507,-16.164884404673682,-35.948170681066465,-46.051243577265886,-32.16674404928411,,
nls_nevo,Waves,Neve 5116 console channel,console-neve,matched_thd_0.1_pct,full,thd_0.1_pct,50.0,-12.0,1.429819554140729,481,-45.767670351289354,-37.89879049976092,-66.62857327781293,-48.7722187789144,-79.23921940015802,-56.54593020193832,-88.50795509112301
nls_nevo,Waves,Neve 5116 console channel,console-neve,matched_thd_0.1_pct,full,thd_0.1_pct,50.0,-3.0,16.367317187682104,481,-22.49928059696724,-17.008562360460864,-33.583227355575836,-51.75589669332351,-33.39246140042186,-37.158847137059404,-38.06551664507298
