slug,maker,models,family,group,setting,depth,matched,level_dbfs,hz,magnitude_db,phase_deg,group_delay_ms,ref_1k_db,sweep_check_worst_db
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-3.0,323.1,-0.059,-158.22,10.6915,92.299,-0.082
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-3.0,3231.2,-0.001,-169.43,10.6687,92.299,-0.082
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-3.0,35.6,-0.285,-120.19,11.2674,92.299,-0.082
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-3.0,355.7,-0.034,76.52,10.6684,92.299,-0.082
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-3.0,3556.6,-0.002,20.17,10.6689,92.299,-0.082
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-3.0,39.1,-0.24,-135.98,11.1418,92.299,-0.082
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-3.0,391.5,-0.05,-61.49,10.695,92.299,-0.082
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-3.0,3914.7,-0.003,84.57,10.6676,92.299,-0.082
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-3.0,43.1,-0.201,-152.84,11.0429,92.299,-0.082
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-3.0,430.9,-0.027,146.35,10.6711,92.299,-0.082
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-3.0,4308.9,-0.005,11.14,10.6692,92.299,-0.082
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-3.0,47.4,-0.167,-169.41,11.0028,92.299,-0.082
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-3.0,474.3,-0.032,-19.66,10.683,92.299,-0.082
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-3.0,4742.7,-0.006,144.38,10.6681,92.299,-0.082
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-3.0,52.2,-0.12,169.81,11.3793,92.299,-0.082
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-3.0,522.0,-0.019,157.24,10.6712,92.299,-0.082
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-3.0,5220.3,-0.009,110.26,10.6677,92.299,-0.082
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-3.0,57.5,-0.107,149.21,11.0952,92.299,-0.082
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-3.0,574.6,-0.025,-45.35,10.6829,92.299,-0.082
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-3.0,5746.0,-0.013,-108.12,10.6695,92.299,-0.082
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-3.0,63.2,-0.099,126.04,10.9634,92.299,-0.082
api_vision,UAD,API 1608 console channel,colour,console-api,line_gain_0,full,,-3.0,632.5,-0.008,92.27,10.665,92.299,-0.082
