slug,maker,models,family,group,state,condition,rms_dbfs,peak_dbfs,a_weighted_dbfs,noise_added_db,controls,loudest_tone_hz,loudest_tone_dbfs
nls_mike,Waves,SSL 4000 G+ console channel,colour,console-ssl,on,silence,-200.0,-200.0,-200.0,0.0,noise=On ,,
nls_mike,Waves,SSL 4000 G+ console channel,colour,console-ssl,on,under_tone_-12,-77.39,-64.61,-125.4,0.0,noise=On ,23000.1,-118.53
nls_nevo,Waves,Neve 5116 console channel,colour,console-neve,off,silence,-200.0,-200.0,-200.0,0.0,noise=On ,,
nls_nevo,Waves,Neve 5116 console channel,colour,console-neve,off,under_tone_-12,-114.81,-66.11,-157.13,0.0,noise=On ,991.9,-177.08
nls_nevo,Waves,Neve 5116 console channel,colour,console-neve,on,silence,-200.0,-200.0,-200.0,0.0,noise=On ,,
nls_nevo,Waves,Neve 5116 console channel,colour,console-neve,on,under_tone_-12,-114.81,-66.11,-157.13,0.0,noise=On ,991.9,-177.08
nls_spike,Waves,EMI TG12345 console channel,colour,console-emi,off,silence,-200.0,-200.0,-200.0,0.0,noise=On ,,
nls_spike,Waves,EMI TG12345 console channel,colour,console-emi,off,under_tone_-12,-82.84,-65.66,-153.87,0.0,noise=On ,6007.7,-180.19
nls_spike,Waves,EMI TG12345 console channel,colour,console-emi,on,silence,-200.0,-200.0,-200.0,0.0,noise=On ,,
nls_spike,Waves,EMI TG12345 console channel,colour,console-emi,on,under_tone_-12,-82.84,-65.66,-153.87,0.0,noise=On ,6007.7,-180.19
nlsbuss_mike,Waves,SSL 4000 G+ console buss,colour,console-ssl,off,silence,-200.0,-200.0,-200.0,98.79,noise=On ,,
nlsbuss_mike,Waves,SSL 4000 G+ console buss,colour,console-ssl,off,under_tone_-12,-118.72,-66.14,-136.18,17.59,noise=On ,20999.6,-148.06
nlsbuss_mike,Waves,SSL 4000 G+ console buss,colour,console-ssl,on,silence,-101.21,-89.58,-103.49,98.79,noise=On ,20.7,-119.31
nlsbuss_mike,Waves,SSL 4000 G+ console buss,colour,console-ssl,on,under_tone_-12,-101.13,-66.31,-103.57,17.59,noise=On ,20.7,-118.63
nlsbuss_nevo,Waves,Neve 5116 console buss,colour,console-neve,off,silence,-200.0,-200.0,-200.0,88.77,noise=On ,,
nlsbuss_nevo,Waves,Neve 5116 console buss,colour,console-neve,off,under_tone_-12,-92.89,-65.93,-138.19,0.06,noise=On ,1007.6,-161.17
nlsbuss_nevo,Waves,Neve 5116 console buss,colour,console-neve,on,silence,-111.23,-99.71,-114.95,88.77,noise=On ,,
