slug,maker,models,group,element,gr_target_db,level_dbfs,out_db,gain_db,gr_db
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,10.0,-27.0,-24.595,2.405,0.034
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,10.0,-3.0,-18.698,-15.698,18.137
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,10.0,-30.0,-27.563,2.437,0.002
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,10.0,-36.0,-33.562,2.438,0.001
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,10.0,-42.0,-39.561,2.439,0.0
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,10.0,-48.0,-45.561,2.439,0.0
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,10.0,-54.0,-51.561,2.439,0.0
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,10.0,-6.0,-19.218,-13.218,15.657
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,10.0,-9.0,-19.721,-10.721,13.16
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,10.0,0.0,-18.156,-18.156,20.595
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,15.0,-12.0,-19.248,-7.248,15.515
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,15.0,-15.0,-19.756,-4.756,13.023
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,15.0,-18.0,-20.288,-2.288,10.555
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,15.0,-21.0,-20.833,0.167,8.1
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,15.0,-24.0,-21.446,2.554,5.713
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,15.0,-27.0,-22.167,4.833,3.434
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,15.0,-3.0,-17.692,-14.692,22.959
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,15.0,-30.0,-23.138,6.862,1.405
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,15.0,-36.0,-27.734,8.266,0.001
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,15.0,-42.0,-33.733,8.267,0.0
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,15.0,-48.0,-39.733,8.267,0.0
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,15.0,-54.0,-45.733,8.267,0.0
1176ln,UAD,UREI 1176LN Rev E,fet-1176,fet,15.0,-6.0,-18.192,-12.192,20.459
